,ISIN,COMPANY_CODE,SECTOR_CODE,REPORTING_YEAR,N_SDG1,N_SDG2,N_SDG3,N_SDG4,N_SDG5,N_SDG6,N_SDG7,N_SDG8,N_SDG9,N_SDG10,N_SDG11,N_SDG12,N_SDG13,N_SDG14,N_SDG15,N_SDG16,N_SDG17,Market Value
15643,GB00BP9LHF23,SCHROD00001,FINS,2022,0,0,-86000,0,0,-36000,0,0,0,0,-22000,-21000,-290000,-14000,-7200,0,0,"$6,767.56 "
15656,US03076C1062,AMERIP00001,FINS,2022,0,0,-400000,0,0,-170000,0,0,0,0,-100000,-99000,-1100000,-66000,-36000,0,0,"$32,495.52 "
15657,US03076C1062,AMERIP00001,FINS,2022,0,0,-400000,0,0,-170000,0,0,0,0,-100000,-99000,-1100000,-66000,-36000,0,0,"$32,495.52 "
15670,US8816242098,TEVAPH00001,PILL,2022,0,0,-42000000,0,0,-18000000,0,-2000000000,-1000000000,0,-9900000,-10000000,-51000000,-6800000,-3800000,0,0,"$9,199.19 "
15671,US8816242098,TEVAPH00001,PILL,2022,0,0,-42000000,0,0,-18000000,0,-2000000000,-1000000000,0,-9900000,-10000000,-51000000,-6800000,-3800000,0,0,"$9,199.19 "
15684,US6153691059,MOODYS00001,FINS,2022,0,0,-25000,0,0,-19000,0,0,0,0,-1800,-1900,-330000,-1500,-6000,0,0,"$55,270.45 "
15685,US6153691059,MOODYS00001,FINS,2022,0,0,-25000,0,0,-19000,0,0,0,0,-1800,-1900,-330000,-1500,-6000,0,0,"$55,270.45 "
15698,US3377381088,FISERV00001,FINS,2022,0,0,-480000,0,0,-240000,0,0,0,0,-98000,-98000,-9300000,-66000,-60000,0,0,"$71,947.56 "
15699,US3377381088,FISERV00001,FINS,2022,0,0,-480000,0,0,-240000,0,0,0,0,-98000,-98000,-9300000,-66000,-60000,0,0,"$71,947.56 "
15712,US48203R1041,JUNIPE00001,EEMA,2022,0,0,-740000,0,0,-300000,0,0,0,0,-170000,-170000,-4100000,-120000,-61000,0,0,"$10,865.65 "
15713,US48203R1041,JUNIPE00001,EEMA,2022,0,0,-740000,0,0,-300000,0,0,0,0,-170000,-170000,-4100000,-120000,-61000,0,0,"$10,865.65 "
15726,IT0003128367,ENELXX00001,GENE,2022,0,0,-990000000,0,0,-820000000,0,0,0,0,-160000000,-67000000,-3800000000,-16000000,-270000000,0,0,"$48,417.11 "
15727,IT0003128367,ENELXX00001,GENE,2022,0,0,-990000000,0,0,-820000000,0,0,0,0,-160000000,-67000000,-3800000000,-16000000,-270000000,0,0,"$48,417.11 "
